case,phase,graph_distance,pairs,latent_mean,latent_sd
random256_seed1,final,5,7253,6.760720117650524,0.8775945315851917
random256_seed1,final,6,8748,7.159375902280164,0.9364391097227712
random256_seed1,final,7,6158,7.713240652010413,1.0312799919821334
random256_seed1,final,8,2276,8.584902210768336,1.1625841835211232
random256_seed1,final,9,466,9.759681519010911,1.1242560592584698
random256_seed1,final,10,45,10.698827772831605,0.8180843332849981
random256_seed2,initial,1,381,44.68761766700876,0.9429904552969229
random256_seed2,initial,2,826,44.70495682446335,0.9867785468105733
random256_seed2,initial,3,1765,44.687238249028574,0.927010882778564
random256_seed2,initial,4,3488,44.70643050762956,0.938288826934435
random256_seed2,initial,5,5962,44.714288594044014,0.9393077381433257
random256_seed2,initial,6,7914,44.690304871119025,0.9465259988169241
random256_seed2,initial,7,6860,44.694733309094524,0.9524204647828394
random256_seed2,initial,8,3527,44.69272706208931,0.9425212303812741
random256_seed2,initial,9,1219,44.67978827849944,0.9567789134787557
random256_seed2,initial,10,435,44.553469256683584,1.0294880568248617
random256_seed2,initial,11,196,44.27372124445643,0.943188960911032
random256_seed2,initial,12,56,44.21046852258227,0.9093591871432434
random256_seed2,initial,13,11,44.58347973928084,0.9380191523156378
random256_seed2,final,1,381,3.6813943154721804,0.3419027076619978
random256_seed2,final,2,826,5.362231712599441,0.6327573206543153
random256_seed2,final,3,1765,6.325226988093287,0.834171058947202
random256_seed2,final,4,3488,6.8965537437218725,0.9681889246697007
random256_seed2,final,5,5962,7.323169579640408,1.0522801770654366
random256_seed2,final,6,7914,7.7605034245938205,1.130948511846877
random256_seed2,final,7,6860,8.361006298963204,1.2695124531257218
random256_seed2,final,8,3527,9.33308750141055,1.533978466413546
random256_seed2,final,9,1219,10.951177259927814,1.814719810175896
random256_seed2,final,10,435,12.942203107139738,1.4318642296837014
random256_seed2,final,11,196,13.911582563620684,0.9057483086878888
random256_seed2,final,12,56,14.487195050934202,0.7703010490925186
random256_seed2,final,13,11,15.343343157380325,0.6247910231914433
